Java HotSpot(TM) 64-Bit Server VM (25.60-b23) for bsd-amd64 JRE (1.8.0_60-b27), built on Aug  4 2015 10:47:24 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1230656k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2017-08-27T19:38:01.576-0100: 55.097: [Full GC (Ergonomics) [PSYoungGen: 147552K->0K(534528K)] [ParOldGen: 1254535K->273065K(1398272K)] 1402087K->273065K(1932800K), [Metaspace: 22352K->22352K(1069056K)], 0.4279816 secs] [Times: user=3.17 sys=0.01, real=0.43 secs] 
2017-08-27T19:38:02.771-0100: 56.292: [GC (Allocation Failure) [PSYoungGen: 372224K->149664K(536064K)] 645289K->422729K(1934336K), 0.0715349 secs] [Times: user=0.56 sys=0.01, real=0.07 secs] 
2017-08-27T19:38:03.577-0100: 57.098: [GC (Allocation Failure) [PSYoungGen: 523936K->147872K(536576K)] 797001K->517945K(1934848K), 0.1089892 secs] [Times: user=0.85 sys=0.01, real=0.11 secs] 
2017-08-27T19:38:04.436-0100: 57.957: [GC (Allocation Failure) [PSYoungGen: 522144K->149344K(536576K)] 892217K->614713K(1934848K), 0.1070450 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:05.246-0100: 58.767: [GC (Allocation Failure) [PSYoungGen: 524128K->148800K(536576K)] 989497K->710865K(1934848K), 0.1096758 secs] [Times: user=0.84 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:06.107-0100: 59.628: [GC (Allocation Failure) [PSYoungGen: 523584K->149604K(536576K)] 1085649K->805805K(1934848K), 0.1068478 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:06.894-0100: 60.415: [GC (Allocation Failure) [PSYoungGen: 524900K->147392K(536576K)] 1181101K->900661K(1934848K), 0.1089003 secs] [Times: user=0.84 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:07.742-0100: 61.263: [GC (Allocation Failure) [PSYoungGen: 522688K->149376K(537088K)] 1275957K->999325K(1935360K), 0.1081488 secs] [Times: user=0.84 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:08.603-0100: 62.124: [GC (Allocation Failure) [PSYoungGen: 526208K->151488K(536576K)] 1376157K->1098085K(1934848K), 0.1095820 secs] [Times: user=0.86 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:09.478-0100: 62.999: [GC (Allocation Failure) [PSYoungGen: 528320K->150432K(538624K)] 1474917K->1185698K(1936896K), 0.1038216 secs] [Times: user=0.81 sys=0.00, real=0.11 secs] 
